Rank,Artist,Weeks_on_Chart,Peak_Rank,Peak_Streams,Total_Streams,Weekly_Rank,Weekly_Streams,spotify_id,genres,popularity,followers,vector,Track_Name
1,V,51,1,2231149,80352428,1.0,1733327.0,3JsHnjpbhX4SnySpvpa9DK,k-pop,76,20147531,"[0.3, 0.2, 0.2, 1.0, 0.5]",winter ahead
2,高爾宣 OSN,346,1,320865,57647805,107.0,120204.0,4TcOznbEZBqev21LzAH4KE,"chinese r&b, chinese hip hop, mandopop, taiwanese pop, c-pop",56,471977,"[0.7, 0.6, 0.8, 1.0, 0.8]",out you
3,Bestards,317,5,310982,55841814,25.0,223414.0,0Awqm7GXGiBp8fJNGvywra,"mandopop, taiwanese indie, taiwanese pop, chinese indie, c-pop",58,249195,"[0.6, 0.7, 0.3, 1.0, 0.9]",不是因為天氣晴朗才愛你
4,WeiBird,211,1,927656,53416091,62.0,145771.0,7y3HnWCFEvWj4KM9GFSkiX,"mandopop, taiwanese pop, c-pop, chinese r&b",54,515342,"[0.4, 0.3, 0.9, 1.0, 0.9]",如果可以
5,Eric Chou,358,2,243086,49633468,73.0,136091.0,5fEQLwq1BWWQNR8GzhOIvi,"mandopop, c-pop, taiwanese pop, chinese r&b",65,1749260,"[0.3, 0.1, 0.9, 0.9, 0.9]",怎麼了
6,V,119,1,1256970,47640849,22.0,233372.0,3JsHnjpbhX4SnySpvpa9DK,k-pop,76,20147531,"[0.7, 0.8, 0.3, 1.0, 0.5]",love me again
7,Ren Ran,225,1,337979,44872483,149.0,104334.0,6f4srX54JFrLNK4aTJe2Sc,"mandopop, c-pop, gufeng, chinese r&b, taiwanese pop",58,483723,"[0.5, 0.6, 0.7, 1.0, 0.9]",飞鸟和蝉
8,告五人,361,16,217975,44729204,116.0,116476.0,6xErgeZYatiaQ36SB5bvi8,"taiwanese indie, chinese indie, mandopop, taiwanese pop, c-pop, chinese rock",59,1209202,"[0.7, 0.7, 0.6, 1.0, 0.8]",披星戴月的想你
9,EggPlantEgg,362,1,310008,43709077,49.0,171493.0,6g641431O1Xkl7HAs2yFEg,"taiwanese indie, taiwanese pop, chinese indie, mandopop, chinese rock, c-pop",56,618624,"[0.5, 0.4, 0.6, 0.9, 0.9]",浪流連
10,Jimin,70,1,889773,43302006,5.0,431640.0,1oSPZhvZMIrWW5I41kPkkY,k-pop,79,10931337,"[0.6, 0.2, 0.8, 1.0, 0.5]",who
11,Ronghao Li,365,3,193046,39895086,154.0,103343.0,0rTP0x4vRFSDbhtqcCqc8K,"mandopop, c-pop, taiwanese pop",58,1082705,"[0.4, 0.3, 0.7, 0.8, 0.8]",年少有為
12,Fish Leong,338,12,192309,39832834,61.0,146458.0,3aIDSTKS9yH745GUQBxDcS,"mandopop, taiwanese pop, c-pop",58,1090756,"[0.3, 0.2, 0.7, 0.8, 0.9]",慢冷
13,The Kid LAROI,228,1,408941,39640875,145.0,105503.0,2tIP7SsRs7vjIcLrU85W8J,,80,6653006,"[0.8, 0.7, 0.9, 0.9, 0.7]",stay
14,Crowd Lu,201,1,543794,39521128,87.0,128931.0,2JBUyLiFvpFPWdZGqIGYLD,"mandopop, taiwanese pop, taiwanese indie, c-pop, chinese indie",65,674193,"[0.3, 0.4, 0.6, 0.8, 0.8]",刻在我心底的名字
